id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
1;São Paulo;26;-23.61557000;-46.45588000;3550308;11;1521.11
2;Osasco;26;-23.55569000;-46.77719000;3534401;11;64.95
3;Carapicuíba;26;-23.57325440;-46.85380180;3510609;11;34.55
4;Barueri;26;-23.54273160;-46.88359840;3505708;11;65.70
5;Santana de Parnaíba;26;-23.43613000;-46.87040000;3547304;11;179.95
6;Pirapora do Bom Jesus;26;-23.39747000;-47.00240000;3539103;11;108.49
7;Jandira;26;-23.53460000;-46.90960000;3525003;11;17.45
8;Itapevi;26;-23.56096000;-46.91528000;3522505;11;82.66
9;Cotia;26;-23.45391000;-46.50811000;3513009;11;323.99
10;Vargem Grande Paulista;26;-23.60472000;-47.02242000;3556453;11;42.49
11;Taboão da Serra;26;-23.61737000;-46.80789000;3552809;11;20.39
12;Embu das Artes;26;-23.64891000;-46.85291000;3515004;11;70.40
14;Itapecerica da Serra;26;-23.71783000;-46.84895000;3522208;11;150.74
15;São Lourenço da Serra;26;-23.85977000;-46.95128000;3549953;11;186.46
16;Embu-Guaçu;26;-23.81187000;-46.81874000;3515103;11;155.64
17;Juquitiba;26;-23.98406000;-47.14610000;3526209;11;522.17
18;Guarulhos;26;-23.45065000;-46.53164000;3518800;11;318.68
19;Arujá;26;-23.41626000;-46.33667000;3503901;11;144.79
20;Santa Isabel;26;-23.31829000;-46.22771000;3546801;11;363.33
21;Mairiporã;26;-23.29575000;-46.60952000;3528502;11;320.70
22;Caieiras;26;-23.73285000;-46.39302000;3509007;11;97.64
23;Cajamar;26;-23.71006000;-47.41832000;3509205;11;131.39
24;Franco da Rocha;26;-23.32953000;-46.72894000;3516408;11;132.78
25;Francisco Morato;26;-23.28219000;-46.74925000;3516309;11;49.00
26;Ferraz de Vasconcelos;26;-23.52927000;-46.36520000;3515707;11;29.56
27;Poá;26;-23.52221000;-46.33883000;3539806;11;17.26
28;Itaquaquecetuba;26;-23.43673000;-46.27504000;3523107;11;82.62
29;Suzano;26;-23.58294000;-46.30327000;3552502;11;206.24
30;Mogi das Cruzes;26;-23.55046000;-46.21425000;3530607;11;712.54
31;Guararema;26;-23.41232000;-46.03608000;3518305;11;270.82
32;Biritiba-Mirim;26;-23.57389000;-46.03839000;3506607;11;317.41
33;Salesópolis;26;-22.03106000;-47.89296000;3545001;11;425.00
34;Santo André;26;-23.61963000;-46.57173000;3547809;11;175.78
35;Mauá;26;-23.67489000;-46.45227000;3529401;11;61.91
36;Ribeirão Pires;26;-23.66079000;-46.36694000;3543303;11;99.08
37;Rio Grande da Serra;26;-23.74437000;-46.39279000;3544103;11;36.34
38;São Caetano do Sul;26;-23.61817000;-46.55868000;3548807;11;15.33
39;São Bernardo do Campo;26;-23.71920000;-46.53732000;3548708;11;409.53
40;Salvador;5;-12.89950000;-38.46033000;2927408;71;692.82
41;Diadema;26;-23.68165870;-46.62034120;3513801;11;30.73
42;Santos;26;-23.93057000;-46.35467000;3548500;13;281.03
43;Bertioga;26;-23.82313000;-46.12529000;3506359;13;491.55
44;São Vicente;26;-23.97578000;-46.45549000;3551009;13;148.10
45;Guarujá;26;-24.01079000;-46.27099000;3518701;13;144.79
46;Cubatão;26;-23.93157000;-46.43005000;3513504;13;142.88
47;São Sebastião;26;-21.61157000;-48.35689000;3550704;12;403.34
48;Ilhabela;26;-23.82396000;-45.36689000;3520400;12;346.39
49;Caraguatatuba;26;-23.62641000;-45.39332000;3510500;12;484.95
50;Ubatuba;26;-23.43982000;-45.08116000;3555406;12;708.11
51;Praia Grande;26;-24.05340000;-46.53862000;3541000;13;149.25
52;Mongaguá;26;-24.10985100;-46.67628220;3531100;13;143.21
53;Itanhaém;26;-24.16329000;-46.79223000;3522109;13;601.71
54;Peruíbe;26;-24.30627000;-46.97909000;3537602;13;326.22
55;Itariri;26;-24.29080000;-47.17507000;3523305;13;273.67
56;Pedro de Toledo;26;-24.27633000;-47.23406000;3537206;13;670.44
57;Juquiá;26;-24.31178000;-47.62667000;3526100;13;812.80
58;Miracatu;26;-24.28353000;-47.45909000;3529906;13;1001.48
59;Registro;26;-24.49134000;-47.84197000;3542602;13;722.20
60;Sete Barras;26;-24.38622000;-47.92726000;3551801;13;1062.70
61;Iguape;26;-24.70836000;-47.55649000;3520301;13;1978.80
62;Ilha Comprida;26;-24.74888000;-47.55143000;3520426;13;196.57
63;Pariquera-Açu;26;-24.71531000;-47.88239000;3536208;13;359.41
64;Jacupiranga;26;-24.69156000;-48.00226000;3524600;13;704.19
65;Cajati;26;-22.66098000;-47.62008000;3509254;13;454.44
66;Barra do Turvo;26;-24.75749000;-48.50573000;3505401;15;1007.67
67;Eldorado;26;-23.64355150;-46.75190620;3514809;13;1654.26
68;Cananéia;26;-25.01442000;-47.92852000;3509908;13;1237.36
69;Taubaté;26;-22.74068000;-47.32537000;3554102;12;625.00
70;Tremembé;26;-22.96450000;-45.54987000;3554805;12;191.09
71;Lagoinha;26;-23.55355000;-46.40649000;3526308;12;255.47
72;São Luiz do Paraitinga;26;-23.22213000;-45.31130000;3550001;11;1521.11
73;Redenção da Serra;26;-23.27890000;-45.53489000;3542305;12;309.44
74;Natividade da Serra;26;-23.37770000;-45.44463000;3532306;12;833.37
75;São José dos Campos;26;-23.24780000;-45.91497000;3549904;12;1099.41
76;Monteiro Lobato;26;-22.95467000;-45.83848000;3531704;12;332.74
77;Paraibuna;26;-23.38996000;-45.66233000;3535606;12;809.58
78;Jambeiro;26;-23.25481000;-45.69061000;3524907;12;184.41
79;Caçapava;26;-23.09144000;-45.69016000;3508504;12;368.99
80;Jacareí;26;-23.31619000;-45.99369000;3524402;12;464.27
81;Igaratá;26;-23.20605000;-46.15387000;3520202;11;292.95
82;Santa Branca;26;-23.39725000;-45.88543000;3546009;12;272.24
83;Pindamonhangaba;26;-22.90009000;-45.37687000;3538006;12;730.00
84;Santo Antônio do Pinhal;26;-22.82497000;-45.66690000;3548203;12;133.01
85;Campos do Jordão;26;-22.74115000;-45.59227000;3509700;12;290.52
86;São Bento do Sapucaí;26;-22.68824000;-45.73084000;3548609;12;252.58
87;Guaratinguetá;26;-22.79743000;-45.22955000;3518404;12;752.64
88;Potim;26;-22.84114000;-45.25338000;3540754;12;44.47
89;Cunha;26;-23.07323000;-44.95830000;3513603;12;573.89
90;Aparecida;26;-22.84757000;-45.23664000;3502507;12;179.00
91;Roseira;26;-22.90032000;-45.30800000;3544301;12;130.65
92;Lorena;26;-22.72357000;-45.12182000;3527207;12;414.16
93;Canas;26;-22.70720950;-45.05600420;3509957;12;53.26
94;Piquete;26;-22.60912000;-45.18416000;3538501;12;176.00
95;Cachoeira Paulista;26;-22.67005000;-45.00694000;3508603;12;287.99
96;Silveiras;26;-22.66692000;-44.85279000;3552007;12;414.78
97;Cruzeiro;26;-22.55853000;-44.94297000;3513405;12;305.70
98;Lavrinhas;26;-22.57229000;-44.90089000;3526605;12;167.07
99;Queluz;26;-22.53937000;-44.77353000;3541901;12;249.40
100;Areias;26;-22.57699000;-44.69703000;3503505;12;305.23
101;São José do Barreiro;26;-22.64519000;-44.57686000;3549607;12;570.69
102;Bananal;26;-22.68543000;-44.32535000;3504909;12;616.43
103;Arapeí;26;-22.67274000;-44.44694000;3503158;12;156.90
104;Bragança Paulista;26;-22.95268000;-46.55562000;3507605;11;512.58
105;Tuiuti;26;-22.81578000;-46.69386000;3554953;11;126.73
106;Vargem;26;-22.88915000;-46.41457000;3556354;11;42.49
107;Atibaia;26;-23.14930000;-46.55654000;3504107;11;478.52
108;Bom Jesus dos Perdões;26;-23.13434000;-46.46562000;3507100;11;108.37
109;Nazaré Paulista;26;-23.17708000;-46.39608000;3532405;11;326.25
110;Piracaia;26;-23.05452000;-46.35852000;3538600;11;385.57
111;Joanópolis;26;-22.93006000;-46.27594000;3525508;11;374.29
112;Pedra Bela;26;-22.79490000;-46.44348000;3536802;11;158.59
113;Pinhalzinho;26;-22.78100000;-46.59167000;3538204;11;154.53
114;Campinas;26;-22.93356000;-47.09646000;3509502;19;794.57
115;Paulínia;26;-22.73119350;-47.19707360;3536505;19;138.78
116;Cosmópolis;26;-22.63568000;-47.18495000;3512803;19;154.67
117;Artur Nogueira;26;-22.57479000;-47.16588000;3503802;19;178.03
118;Engenheiro Coelho;26;-22.49032000;-47.20482000;3515152;19;109.94
119;Sumaré;26;-22.83405000;-47.26680000;3552403;19;153.47
120;Hortolândia;26;-22.89392000;-47.19818000;3519071;19;62.42
121;Monte Mor;26;-22.94391000;-47.11678000;3531803;19;240.57
122;Jundiaí;26;-21.79200000;-50.89443000;3525904;11;431.21
123;Várzea Paulista;26;-23.19339120;-46.81908980;3556503;11;35.12
124;Campo Limpo Paulista;26;-23.19866000;-46.78006000;3509601;11;79.40
125;Jarinu;26;-23.10076000;-46.72797000;3525201;11;207.55
126;Itatiba;26;-22.51132000;-47.77961000;3523404;11;322.28
127;Morungaba;26;-22.88290000;-46.79224000;3532009;11;146.75
128;Valinhos;26;-22.96255000;-46.92234000;3556206;19;148.54
129;Vinhedo;26;-23.02029000;-46.94972000;3556701;19;81.60
130;Louveira;26;-23.08666000;-46.97639000;3527306;19;55.13
131;Itupeva;26;-23.98154000;-48.89224000;3524006;11;200.82
132;Itu;26;-23.29939000;-47.28300000;3523909;11;448.52
133;Cabreúva;26;-23.30700000;-47.13156000;3508405;11;260.23
134;Salto;26;-20.83904000;-49.40607000;3545209;11;188.44
135;Indaiatuba;26;-23.09366000;-47.21098000;3520509;19;311.55
136;Elias Fausto;26;-23.96053000;-46.31513000;3514908;19;202.36
137;Capivari;26;-23.30642000;-45.96052000;3510401;19;322.88
138;Rafard;26;-23.00966320;-47.52942010;3542107;19;121.65
139;Mombuca;26;-22.92696000;-47.56591000;3530904;19;133.70
140;Nova Odessa;26;-22.80470000;-47.30850000;3533403;19;73.79
141;Rio das Pedras;26;-22.85465000;-47.62068000;3544004;19;226.66
142;Piracicaba;26;-22.75393000;-47.63131000;3538709;19;1378.07
143;Saltinho;26;-22.84761000;-47.68831000;3545159;19;99.74
144;Santa Bárbara DOeste;26;-22.75435000;-47.41481000;3545803;19;271.03
145;Americana;26;-22.71403000;-47.31272000;3501608;19;133.91
146;Limeira;26;-22.56607000;-47.39062000;3526902;19;580.71
147;Cordeirópolis;26;-22.47889000;-47.46613000;3512407;19;137.58
148;Iracemápolis;26;-22.58124000;-47.52025000;3521408;19;115.12
149;Rio Claro;26;-22.45724000;-47.54109000;3543907;19;498.42
150;Santa Gertrudes;26;-22.44215000;-47.54373000;3546702;19;98.29
151;Charqueada;26;-22.50898000;-47.78587000;3511706;19;175.85
152;São Pedro;26;-22.58150220;-47.89375780;3550407;19;731.22
153;Águas de São Pedro;26;-22.60502000;-47.87675000;3500600;19;3.61
154;Itirapina;26;-22.25430000;-47.82218000;3523602;19;564.60
155;Ipeúna;26;-22.43597000;-47.71879000;3521101;19;190.01
156;Corumbataí;26;-22.22074000;-47.62512000;3512704;19;278.62
157;Analândia;26;-22.12736000;-47.66429000;3502002;19;325.95
158;São Carlos;26;-22.05728000;-47.91834000;3548906;16;1136.91
159;Ribeirão Bonito;26;-22.07018000;-48.17757000;3542909;16;471.55
160;Dourado;26;-22.11048000;-48.31239000;3514304;16;205.87
161;Araras;26;-22.35513000;-47.33288000;3503307;19;644.83
162;Leme;26;-22.18078500;-47.39580780;3526704;19;402.87
163;Santa Cruz da Conceição;26;-22.14161000;-47.44985000;3546207;19;150.13
164;Pirassununga;26;-22.02764000;-47.42724000;3539301;19;727.12
165;Santa Cruz das Palmeiras;26;-21.82469000;-47.24966000;3546306;19;295.34
166;Porto Ferreira;26;-21.84957000;-47.46356000;3540705;19;244.91
167;Santa Rita do Passa Quatro;26;-21.70503000;-47.47595000;3547502;19;754.14
168;Descalvado;26;-21.90391000;-47.61881000;3513702;19;753.71
169;Casa Branca;26;-21.77665000;-47.08444000;3510807;19;864.23
170;Tambaú;26;-21.70832000;-47.27103000;3553302;19;561.79
171;Itobi;26;-21.73421000;-46.97194000;3523800;19;138.99
172;São José do Rio Pardo;26;-21.60632000;-46.89909000;3549706;19;419.68
173;Mococa;26;-21.25707000;-47.80974000;3530508;19;855.16
174;Tapiratiba;26;-21.46787000;-46.75036000;3553609;19;221.89
175;Caconde;26;-21.52857000;-46.64681000;3508702;19;468.22
176;Divinolândia;26;-21.65883590;-46.73542990;3513900;19;223.75
177;São Sebastião da Grama;26;-21.71042000;-46.83280000;3550803;19;252.41
178;Mogi Mirim;26;-22.42683000;-46.95661000;3530805;19;497.71
179;Monte Alegre do Sul;26;-22.69154000;-46.68006000;3531209;19;141.39
180;Jaguariúna;26;-22.70585000;-46.98628000;3524709;19;141.39
181;Holambra;26;-22.63372000;-47.05673000;3519055;19;65.58
182;Santo Antônio de Posse;26;-22.60440000;-46.90400000;3548005;19;154.13
183;Conchal;26;-22.33705000;-47.17064000;3512209;19;182.79
184;Mogi Guaçu;26;-23.54603000;-46.65893000;3530706;19;812.75
185;Estiva Gerbi;26;-22.27405000;-46.95198000;3557303;19;74.14
186;Aguaí;26;-22.03505000;-46.98513000;3500303;19;145.33
187;São João da Boa Vista;26;-22.00221000;-46.77658000;3549102;19;516.40
188;Vargem Grande do Sul;26;-21.82966870;-46.89466550;3556404;19;267.18
189;Águas da Prata;26;-21.93887000;-46.71973000;3500402;19;142.96
190;Amparo;26;-22.72349000;-46.84461000;3501905;19;445.32
191;Pedreira;26;-22.74261000;-46.89833000;3537107;19;108.82
192;Serra Negra;26;-22.61125000;-46.70311000;3551603;19;203.74
193;Águas de Lindóia;26;-22.47467000;-46.63003000;3500501;19;60.13
194;Lindóia;26;-22.52240000;-46.64811000;3527009;19;48.76
195;Socorro;26;-22.59333000;-46.52983000;3552106;19;449.03
196;Itapira;26;-22.41941000;-46.82561000;3522604;19;406.48
197;Espírito Santo do Pinhal;26;-22.19378000;-46.75155000;3515186;19;389.24
198;Santo Antônio do Jardim;26;-22.11482000;-46.68594000;3548104;19;109.96
199;Ribeirão Preto;26;-21.18241610;-47.74278660;3543402;16;650.92
200;Guatapará;26;-21.28542000;-50.39297000;3518859;16;413.57
201;Dumont;26;-21.23764000;-47.97581000;3514601;16;111.38
202;Cravinhos;26;-21.34032000;-47.73547000;3513108;16;311.42
203;Serrana;26;-21.20381000;-47.60320000;3551504;16;126.05
204;Sertãozinho;26;-21.13726000;-47.99264000;3551702;16;403.09
205;Pontal;26;-21.02729620;-48.03524710;3540200;16;209.53
206;São Simão;26;-21.45358000;-47.58395000;3550902;16;617.25
207;Luís Antônio;26;-21.55565000;-47.70132000;3527603;16;598.26
208;Serra Azul;26;-21.31202000;-47.56559000;3551405;16;283.14
209;Cajuru;26;-23.35031000;-47.84859000;3509403;16;660.09
210;Santa Cruz da Esperança;26;-21.20537470;-47.43348870;3546256;16;148.06
211;Cássia dos Coqueiros;26;-21.28353000;-47.17009000;3510906;16;191.68
212;Santa Rosa de Viterbo;26;-21.48209000;-47.36242000;3547601;16;288.58
213;Batatais;26;-20.89683000;-47.59876000;3505906;16;849.53
214;Brodowski;26;-20.99587000;-47.66082000;3507803;16;278.46
215;Altinópolis;26;-21.02367000;-47.37633000;3501004;16;928.96
216;Santo Antônio da Alegria;26;-21.09053000;-47.15239000;3547908;16;310.34
217;Franca;26;-20.53394000;-47.37562000;3516200;16;605.68
218;Patrocínio Paulista;26;-20.63894000;-47.28231000;3536307;16;602.85
219;Itirapuã;26;-20.64226000;-47.21891000;3523701;16;161.12
220;Restinga;26;-20.60667000;-47.48278000;3542701;16;245.75
221;São José da Bela Vista;26;-20.59447000;-47.64170000;3549508;16;276.95
222;Ribeirão Corrente;26;-20.45444000;-47.58947000;3543105;16;148.33
223;Jeriquara;26;-20.31138000;-47.59212000;3525409;16;141.97
224;Cristais Paulista;26;-20.40532000;-47.41841000;3513207;16;385.23
225;Pedregulho;26;-20.13316000;-47.44405000;3537008;16;712.60
226;Rifaina;26;-20.07953000;-47.42352000;3543600;16;162.51
227;Ituverava;26;-20.33374000;-47.79717000;3524105;16;704.66
228;Miguelópolis;26;-20.18127000;-48.02686000;3529708;16;820.80
229;Igarapava;26;-20.04134000;-47.74668000;3520103;16;468.25
230;Aramina;26;-20.09043000;-47.78842000;3503000;16;202.83
231;Buritizal;26;-20.19196000;-47.71031000;3508207;16;266.42
232;Guará;26;-20.42585000;-47.82619000;3517703;16;752.64
233;São Joaquim da Barra;26;-20.58198000;-47.85734000;3549409;16;410.86
234;Ipuã;26;-20.44349000;-48.01638000;3521309;16;466.46
235;Orlândia;26;-20.72044000;-47.88954000;3534302;16;291.77
236;Morro Agudo;26;-20.73112680;-48.05887690;3531902;16;1388.13
237;Sales Oliveira;26;-20.77091000;-47.83846000;3544905;16;305.78
238;Nuporanga;26;-20.73047000;-47.75186000;3533601;16;348.27
239;Jardinópolis;26;-21.06506000;-47.74524000;3525102;16;501.87
240;Bebedouro;26;-20.95437100;-48.49088520;3506102;17;683.19
241;Taiúva;26;-21.12394000;-48.44856000;3553203;16;132.46
242;Taiaçu;26;-21.14429000;-48.51306000;3553104;16;107.06
243;Monte Azul Paulista;26;-20.90799000;-48.63978000;3531506;17;263.46
244;Severínia;26;-20.80771000;-48.80679000;3551900;17;140.46
245;Viradouro;26;-20.87429000;-48.29602000;3556800;17;217.73
246;Terra Roxa;26;-20.79067000;-48.33731000;3554409;17;221.54
247;Pitangueiras;26;-21.01229000;-48.22073000;3539509;16;430.64
248;Taquaral;26;-21.07327000;-48.41109000;3553658;16;53.89
249;Colina;26;-20.71779000;-48.54154000;3512001;17;422.30
250;Jaborandi;26;-20.69061000;-48.41238000;3524204;17;273.44
251;Barretos;26;-20.57970000;-48.55967000;3505500;17;1566.16
252;Guaíra;26;-20.33507000;-48.30055000;3517406;17;1258.47
253;Colômbia;26;-19.98307000;-49.68015000;3512100;17;728.65
254;Araraquara;26;-21.78453000;-48.16322000;3503208;16;1003.63
255;Gavião Peixoto;26;-21.81991000;-48.52042000;3516853;16;243.77
256;Ibaté;26;-21.95073000;-47.99963000;3519303;16;290.98
257;Américo Brasiliense;26;-21.71937000;-48.10055000;3501707;16;122.79
258;Santa Lúcia;26;-21.68677000;-48.08445000;3546900;16;154.03
259;Rincão;26;-21.62251000;-47.91117000;3543709;16;316.64
260;Motuca;26;-21.51006000;-48.15473000;3532058;16;228.70
261;Guariba;26;-21.36030000;-48.22731000;3518602;16;270.29
262;Pradópolis;26;-21.36193000;-48.06877000;3540903;16;167.38
263;Barrinha;26;-21.19094000;-48.16017000;3505609;16;146.03
264;Jaboticabal;26;-21.27310000;-48.31607000;3524303;16;706.60
265;Itápolis;26;-21.59418000;-48.81529000;3522703;16;996.75
266;Tabatinga;26;-21.73404000;-48.68792000;3552700;16;368.60
267;Nova Europa;26;-21.77658000;-48.56727000;3532900;16;160.25
268;Boa Esperança do Sul;26;-21.99721000;-48.38615000;3506706;16;690.75
269;Trabiju;26;-22.04091000;-48.33858000;3554755;16;63.42
270;Ibitinga;26;-21.76766000;-48.83128000;3519600;16;689.39
271;Borborema;26;-21.62287000;-49.07743000;3507407;16;552.26
272;Novo Horizonte;26;-21.46522000;-49.22079000;3533502;17;931.74
273;Sales;26;-21.34091000;-49.50084000;3544806;17;425.00
274;Irapuã;26;-21.19923000;-47.77575000;3521507;17;161.12
275;São José do Rio Preto;26;-20.75119000;-49.38885000;3549805;17;431.94
276;Potirendaba;26;-21.14980000;-48.98401000;3540804;17;342.49
277;Ipiguá;26;-20.65606000;-49.38843000;3521150;17;136.03
278;Guapiaçu;26;-20.79420000;-49.22319000;3517505;17;325.13
279;Bady Bassitt;26;-20.91683000;-49.45046000;3504602;17;110.37
280;Neves Paulista;26;-20.84722000;-49.63695000;3532504;17;219.05
281;Mirassol;26;-20.81401000;-49.51724000;3530300;17;166.13
282;Bálsamo;26;-20.73551000;-49.58149000;3504800;17;149.88
283;Mirassolândia;26;-20.61658000;-49.46443000;3530409;17;166.13
284;Monte Aprazível;26;-20.77315000;-49.71116000;3531407;17;495.56
285;Jaci;26;-20.88288000;-49.56817000;3524501;17;145.13
286;Poloni;26;-20.78452000;-49.81482000;3539905;17;135.12
287;Tanabi;26;-20.62522000;-49.65668000;3553401;17;747.22
288;Sebastianópolis do Sul;26;-20.65609000;-49.92193000;3551306;17;167.85
289;Nhandeara;26;-20.70378910;-50.04159290;3532603;17;436.16
290;José Bonifácio;26;-21.05600000;-49.68267000;3525706;17;860.20
291;Nova Aliança;26;-23.60400000;-47.02672000;3532801;17;217.52
292;Mendonça;26;-21.18321000;-49.58028000;3529500;17;195.15
293;Ubarana;26;-21.16466000;-49.71771000;3555356;17;209.86
294;Adolfo;26;-21.23552000;-49.64303000;3500204;17;211.06
295;Nipoã;26;-20.91255000;-49.77636000;3532702;17;137.61
296;União Paulista;26;-20.88771000;-49.89491000;3555703;17;79.06
297;Planalto;26;-21.03255000;-49.92793000;3539608;18;289.83
298;Zacarias;26;-20.82261000;-49.35701000;3557154;18;319.06
299;Macaubal;26;-20.80121000;-49.96163000;3528106;17;248.09
300;Monções;26;-20.85179000;-50.09188000;3531001;17;104.35
301;Turiúba;26;-20.95034000;-50.10850000;3555208;18;153.24
302;Lourdes;26;-20.96499000;-50.22703000;3527256;18;113.94
303;Buritama;26;-21.06570000;-50.15036000;3508108;18;326.92
304;General Salgado;26;-22.68676000;-45.73079000;3516903;17;494.38
305;Mágda;26;-20.64517000;-50.22588000;3528304;17;312.28
306;Nova Castilho;26;-23.53460000;-46.77926000;3532868;17;183.40
307;São João de Iracema;26;-20.51392000;-50.35282000;3549250;17;178.40
308;Floreal;26;-20.67987000;-50.14861000;3515905;17;204.24
309;Gastão Vidigal;26;-20.79806000;-50.18716000;3516804;17;180.57
310;Nova Luzitânia;26;-20.85651000;-50.26221000;3533304;17;73.82
311;Auriflama;26;-20.68808000;-50.55528000;3504206;17;434.50
312;Guzolândia;26;-20.64708000;-50.66121000;3518909;17;252.48
313;Sud Mennucci;26;-20.68931000;-50.92146000;3552304;18;594.74
314;Pereira Barreto;26;-20.65350000;-51.11431000;3537404;18;974.25
315;Suzanápolis;26;-22.70289000;-47.65787000;3552551;18;330.59
316;Ilha Solteira;26;-20.43418000;-51.34419000;3520442;18;652.64
317;Itapura;26;-20.64322000;-51.50872000;3523008;18;301.65
318;Olímpia;26;-20.72802000;-48.89773000;3533908;17;802.56
319;Cajobi;26;-20.87597030;-48.80831050;3509304;17;176.93
320;Guaraci;26;-20.49743000;-48.94554000;3517901;17;641.50
321;Embaúba;26;-20.98147000;-48.83596000;3514957;17;83.13
322;Altair;26;-20.52776000;-49.06089000;3500907;17;313.01
323;Nova Granada;26;-20.53392000;-49.31950000;3533007;17;531.80
324;Onda Verde;26;-20.61103000;-49.29591000;3534005;17;242.95
325;Icém;26;-20.34310000;-49.19884000;3519808;17;362.36
326;Palestina;26;-23.42597000;-47.45777000;3535002;17;697.70
327;Orindiúva;26;-20.18348000;-49.35124000;3534203;17;247.38
328;Paulo de Faria;26;-20.03134000;-49.40331000;3536604;17;737.99
329;Riolândia;26;-22.41674000;-47.56979000;3544202;17;631.90
330;Votuporanga;26;-20.42109000;-49.97519000;3557105;17;420.70
331;Valentim Gentil;26;-20.42298000;-50.08615000;3556107;17;149.74
332;Parisi;26;-20.30265000;-50.01411000;3536257;17;84.74
333;Cosmorama;26;-20.47765000;-49.77770000;3512902;17;441.68
334;Álvares Florence;26;-20.32087000;-49.90793000;3501202;17;362.41
335;Américo de Campos;26;-20.29976000;-49.73380000;3501806;17;252.88
336;Pontes Gestal;26;-20.18226000;-49.70177000;3540309;17;217.51
337;Cardoso;26;-20.07740000;-49.91589000;3510708;17;639.25
338;Mira Estrela;26;-19.98164000;-50.13947000;3530003;17;216.83
339;Fernandópolis;26;-20.30100000;-50.23815000;3515509;17;549.80
340;Macedônia;26;-20.14382000;-50.19298000;3528205;17;327.57
341;Meridiano;26;-22.01587000;-47.89063000;3529609;17;228.20
342;Pedranópolis;26;-20.24853000;-50.10985000;3536901;17;260.10
343;São João das Duas Pontes;26;-20.38866000;-50.37827000;3549201;17;129.46
344;Estrela DOeste;26;-20.28667000;-50.40061000;3515202;17;296.28
345;Populina;26;-19.94364000;-50.53838000;3540408;17;315.94
346;Guarani DOeste;26;-20.07534000;-50.34171000;3518008;17;85.70
347;Ouroeste;26;-20.00044000;-50.37290000;3534757;17;288.65
348;Indiaporã;26;-19.97941000;-50.28879000;3520707;17;279.61
349;Jales;26;-20.25138000;-50.55201000;3524808;17;368.57
350;São Francisco;26;-23.75878000;-45.41658000;3549003;17;75.58
351;Vitória Brasil;26;-20.19938000;-50.48581000;3556958;17;49.83
352;Dirce Reis;26;-20.46665000;-50.60685000;3513850;17;88.13
353;Pontalinda;26;-22.17201000;-51.24738000;3540259;17;209.53
354;Palmeira DOeste;26;-20.41846000;-50.76256000;3535200;17;318.74
355;Marinópolis;26;-20.44026000;-50.82541000;3529104;17;77.83
356;Aparecida DOeste;26;-20.45062000;-50.88046000;3502606;17;179.00
357;Dolcinópolis;26;-20.12464800;-50.51365170;3514205;17;77.94
358;Paranapuã;26;-20.10558000;-50.58848000;3535903;17;140.35
359;Mesópolis;26;-19.96645000;-50.61853000;3529658;17;148.64
360;Santa Albertina;26;-20.03160000;-50.72971000;3545704;17;272.69
361;Turmalina;26;-20.05382000;-50.47794000;3555307;17;147.80
362;Urânia;26;-20.24786000;-50.64438000;3555802;17;209.26
363;Aspásia;26;-20.16036000;-50.72838000;3503950;17;69.37
364;Santana da Ponte Pensa;26;-20.24909000;-50.80089000;3547205;17;129.89
365;Santa Salete;26;-20.24515000;-50.68921000;3547650;17;79.19
366;Três Fronteiras;26;-20.23434000;-50.88726000;3554904;17;151.59
367;Nova Canaã Paulista;26;-20.38709000;-50.94855000;3532843;17;124.47
368;Santa Fé do Sul;26;-20.20921000;-50.92855000;3546603;17;206.54
369;Santa Rita DOeste;26;-20.14331000;-50.83180000;3547403;17;209.80
370;Santa Clara DOeste;26;-20.09541000;-50.92821000;3546108;17;183.46
371;Rubinéia;26;-23.71261000;-46.41455000;3544509;17;242.88
372;Catanduva;26;-21.15513000;-48.96789000;3511102;17;290.60
373;Pirangi;26;-21.09477000;-48.66421000;3539004;17;215.81
374;Elisiário;26;-21.16726000;-49.11262000;3514924;17;93.98
375;Paraíso;26;-21.01665000;-48.77412000;3535705;17;857.66
376;Palmares Paulista;26;-21.08528690;-48.80219880;3535101;17;82.13
377;Pindorama;26;-21.18469000;-48.90930000;3538105;17;184.83
378;Itajobi;26;-21.31510000;-49.05630000;3521903;17;502.07
379;Marapoama;26;-21.26028000;-49.12794000;3528858;17;111.27
380;Urupês;26;-22.12714000;-51.38096000;3556008;17;323.92
381;Ibirá;26;-21.08069000;-49.23967000;3519402;17;228.23
382;Catiguá;26;-21.05073000;-49.05867000;3511201;17;148.39
383;Tabapuã;26;-20.96373790;-49.02629030;3552601;17;345.79
384;Novais;26;-20.99456000;-48.91875000;3533254;17;117.77
385;Uchoa;26;-20.95513000;-49.17679000;3555604;17;252.43
386;Cedral;26;-20.90462000;-49.26803000;3511300;17;197.84
387;Taquaritinga;26;-21.41963000;-48.51662000;3553708;16;594.34
388;Monte Alto;26;-21.26391000;-48.49950000;3531308;16;346.95
389;Vista Alegre do Alto;26;-21.26398000;-48.49713000;3556909;16;95.43
390;Cândido Rodrigues;26;-21.32574000;-48.63096000;3510104;16;70.89
391;Fernando Prestes;26;-23.87477000;-47.99432000;3515608;16;169.99
392;Santa Adélia;26;-21.24548000;-48.80608000;3545605;17;330.27
393;Ariranha;26;-21.18747000;-48.78437000;3503703;17;132.62
394;Santa Ernestina;26;-21.46690000;-48.39083000;3546504;16;134.42
395;Dobrada;26;-21.52136000;-48.39397000;3514007;16;149.73
